label,h,d,h_prime,k,a,w,l,swn,mmax,security,size,keygen_C,sign_C,verify_C,verify_worst_C,c_per_byte,c_per_byte_worst
w=256,46,2,23,13,11,256,18,0,0,128.0,3824,38721814526.0,77443735530.0,4999.0,9079.0,1.3072698744769875,2.374215481171548
w=256,48,2,24,11,13,256,18,0,0,128.0,3824,77443629054.0,154887618542.0,5001.0,9081.0,1.3077928870292888,2.374738493723849
w=256,48,2,24,14,10,256,18,0,0,128.0,3824,77443629054.0,154887315433.0,4999.0,9079.0,1.3072698744769875,2.374215481171548
w=256,48,3,16,8,16,256,18,0,0,128.0,3824,302514174.0,909639665.0,7268.0,13388.0,1.9006276150627615,3.5010460251046025
w=256,50,2,25,8,18,256,18,0,0,128.0,3824,154887258110.0,309782904819.0,5003.0,9083.0,1.30831589958159,2.375261506276151
w=32,48,2,24,9,14,32,28,0,0,128.0,3840,15200157694.0,30400905201.0,1246.0,2052.0,0.32447916666666665,0.534375
w=32,50,2,25,7,18,32,28,0,0,128.0,3840,30400315390.0,60807970805.0,1248.0,2054.0,0.325,0.5348958333333333
w=256,45,3,15,7,19,256,18,0,0,128.0,3840,151257086.0,468451315.0,7271.0,13391.0,1.8934895833333334,3.4872395833333334
w=256,45,3,15,10,13,256,18,0,0,128.0,3840,151257086.0,454098926.0,7269.0,13389.0,1.89296875,3.48671875
w=256,50,2,25,9,16,256,18,0,0,128.0,3840,154887258110.0,309776875505.0,5004.0,9084.0,1.303125,2.365625
w=256,50,2,25,17,8,256,18,0,0,128.0,3840,154887258110.0,309774533603.0,4998.0,9078.0,1.3015625,2.3640625
w=32,44,2,22,7,19,32,28,0,0,128.0,3856,3800039422.0,7614758901.0,1250.0,2056.0,0.3241701244813278,0.533195020746888
w=32,48,2,24,8,16,32,28,0,0,128.0,3856,15200157694.0,30402412531.0,1249.0,2055.0,0.32391078838174275,0.5329356846473029
w=256,42,2,21,9,17,256,18,0,0,128.0,3856,9680453630.0,19365625841.0,5006.0,9086.0,1.2982365145228216,2.3563278008298756
w=256,42,3,14,8,17,256,18,0,0,128.0,3856,75628542.0,231079921.0,7272.0,13392.0,1.8858921161825726,3.4730290456431536
w=256,42,3,14,9,15,256,18,0,0,128.0,3856,75628542.0,228065263.0,7271.0,13391.0,1.8856327800829875,3.4727697095435683
w=256,44,2,22,8,19,256,18,0,0,128.0,3856,19360907262.0,38738591731.0,5007.0,9087.0,1.2984958506224067,2.3565871369294604
w=256,44,2,22,10,15,256,18,0,0,128.0,3856,19360907262.0,38723125232.0,5006.0,9086.0,1.2982365145228216,2.3563278008298756
w=256,44,2,22,16,9,256,18,0,0,128.0,3856,19360907262.0,38721847269.0,5001.0,9081.0,1.2969398340248963,2.35503112033195
w=256,48,2,24,12,12,256,18,0,0,128.0,3856,77443629054.0,154887454700.0,5004.0,9084.0,1.2977178423236515,2.3558091286307055
w=256,48,2,24,13,11,256,18,0,0,128.0,3856,77443629054.0,154887364586.0,5003.0,9083.0,1.2974585062240664,2.35554979253112
w=256,50,2,25,11,13,256,18,0,0,128.0,3856,154887258110.0,309774876654.0,5005.0,9085.0,1.2979771784232366,2.3560684647302903
w=256,50,2,25,14,10,256,18,0,0,128.0,3856,154887258110.0,309774573545.0,5003.0,9083.0,1.2974585062240664,2.35554979253112
w=32,50,2,25,9,14,32,28,0,0,128.0,3872,30400315390.0,60801220593.0,1250.0,2056.0,0.3228305785123967,0.53099173553719
w=256,40,2,20,11,14,256,18,0,0,128.0,3872,4840226814.0,9681174510.0,5007.0,9087.0,1.2931301652892562,2.346849173553719
w=32,42,2,21,8,17,32,28,0,0,128.0,3888,1900019710.0,3804233715.0,1253.0,2059.0,0.32227366255144035,0.5295781893004116
w=32,42,2,21,9,15,32,28,0,0,128.0,3888,1900019710.0,3801219057.0,1252.0,2058.0,0.3220164609053498,0.529320987654321
w=32,46,2,23,7,19,32,28,0,0,128.0,3888,7600078846.0,15214837749.0,1254.0,2060.0,0.32253086419753085,0.529835390946502
w=32,46,2,23,10,13,32,28,0,0,128.0,3888,7600078846.0,15200485360.0,1252.0,2058.0,0.3220164609053498,0.529320987654321
w=32,50,2,25,8,16,32,28,0,0,128.0,3888,30400315390.0,60802727923.0,1253.0,2059.0,0.32227366255144035,0.5295781893004116
w=256,44,2,22,9,17,256,18,0,0,128.0,3888,19360907262.0,38726533105.0,5010.0,9090.0,1.2885802469135803,2.337962962962963
w=256,45,3,15,11,12,256,18,0,0,128.0,3888,151257086.0,453951468.0,7274.0,13394.0,1.8708847736625513,3.4449588477366255
w=256,46,2,23,8,19,256,18,0,0,128.0,3888,38721814526.0,77460406259.0,5011.0,9091.0,1.2888374485596708,2.3382201646090537
w=256,46,2,23,10,15,256,18,0,0,128.0,3888,38721814526.0,77444939760.0,5010.0,9090.0,1.2885802469135803,2.337962962962963
w=256,46,2,23,16,9,256,18,0,0,128.0,3888,38721814526.0,77443661797.0,5005.0,9085.0,1.2872942386831276,2.33667695473251
w=256,48,3,16,7,19,256,18,0,0,128.0,3888,302514174.0,922222579.0,7277.0,13397.0,1.8716563786008231,3.4457304526748973
w=256,48,3,16,10,13,256,18,0,0,128.0,3888,302514174.0,907870190.0,7275.0,13395.0,1.871141975308642,3.445216049382716
w=256,48,3,16,14,9,256,18,0,0,128.0,3888,302514174.0,907571175.0,7272.0,13392.0,1.8703703703703705,3.4444444444444446
w=256,50,2,25,12,12,256,18,0,0,128.0,3888,154887258110.0,309774712812.0,5008.0,9088.0,1.2880658436213992,2.337448559670782
w=256,50,2,25,13,11,256,18,0,0,128.0,3888,154887258110.0,309774622698.0,5007.0,9087.0,1.2878086419753085,2.3371913580246915
w=32,40,2,20,7,20,32,28,0,0,128.0,3904,950009854.0,1929379829.0,1256.0,2062.0,0.32172131147540983,0.5281762295081968
w=32,44,2,22,11,12,32,28,0,0,128.0,3904,3800039422.0,7600259054.0,1253.0,2059.0,0.320952868852459,0.5274077868852459
w=256,42,2,21,11,14,256,18,0,0,128.0,3904,9680453630.0,19361628142.0,5011.0,9091.0,1.2835553278688525,2.3286372950819674
w=256,42,2,21,15,10,256,18,0,0,128.0,3904,9680453630.0,19360968679.0,5008.0,9088.0,1.2827868852459017,2.3278688524590163
w=256,42,3,14,7,20,256,18,0,0,128.0,3904,75628542.0,256245747.0,7279.0,13399.0,1.8644979508196722,3.4321209016393444
w=256,45,3,15,8,17,256,18,0,0,128.0,3904,151257086.0,457965553.0,7278.0,13398.0,1.8642418032786885,3.4318647540983607
w=256,45,3,15,9,15,256,18,0,0,128.0,3904,151257086.0,454950895.0,7277.0,13397.0,1.863985655737705,3.431608606557377
w=256,45,3,15,12,11,256,18,0,0,128.0,3904,151257086.0,453869546.0,7275.0,13395.0,1.8634733606557377,3.43109631147541
w=32,44,2,22,8,17,32,28,0,0,128.0,3920,3800039422.0,7604273139.0,1257.0,2063.0,0.32066326530612244,0.5262755102040816
w=32,44,2,22,9,15,32,28,0,0,128.0,3920,3800039422.0,7601258481.0,1256.0,2062.0,0.32040816326530613,0.5260204081632653
w=32,48,2,24,7,19,32,28,0,0,128.0,3920,15200157694.0,30414995445.0,1258.0,2064.0,0.3209183673469388,0.5265306122448979
w=32,48,2,24,10,13,32,28,0,0,128.0,3920,15200157694.0,30400643056.0,1256.0,2062.0,0.32040816326530613,0.5260204081632653
w=32,48,2,24,14,9,32,28,0,0,128.0,3920,15200157694.0,30400344041.0,1253.0,2059.0,0.3196428571428571,0.5252551020408164
w=256,40,2,20,8,20,256,18,0,0,128.0,3920,4840226814.0,9714008051.0,5015.0,9095.0,1.2793367346938775,2.32015306122449
w=256,40,2,20,12,13,256,18,0,0,128.0,3920,4840226814.0,9680846828.0,5012.0,9092.0,1.2785714285714285,2.3193877551020408
w=256,46,2,23,9,17,256,18,0,0,128.0,3920,38721814526.0,77448347633.0,5014.0,9094.0,1.2790816326530612,2.3198979591836735
w=256,46,2,23,18,8,256,18,0,0,128.0,3920,38721814526.0,77443647458.0,5008.0,9088.0,1.2775510204081633,2.3183673469387753
w=256,48,2,24,8,19,256,18,0,0,128.0,3920,77443629054.0,154904035315.0,5015.0,9095.0,1.2793367346938775,2.32015306122449
w=256,48,2,24,10,15,256,18,0,0,128.0,3920,77443629054.0,154888568816.0,5014.0,9094.0,1.2790816326530612,2.3198979591836735
w=256,48,2,24,16,9,256,18,0,0,128.0,3920,77443629054.0,154887290853.0,5009.0,9089.0,1.2778061224489796,2.3186224489795917
w=32,42,2,21,7,20,32,28,0,0,128.0,3936,1900019710.0,3829399541.0,1260.0,2066.0,0.3201219512195122,0.5248983739837398
w=32,46,2,23,11,12,32,28,0,0,128.0,3936,7600078846.0,15200337902.0,1257.0,2063.0,0.31935975609756095,0.5241361788617886
w=32,46,2,23,13,10,32,28,0,0,128.0,3936,7600078846.0,15200210922.0,1255.0,2061.0,0.31885162601626016,0.5236280487804879
w=256,40,2,20,13,12,256,18,0,0,128.0,3936,4840226814.0,9680666602.0,5013.0,9093.0,1.2736280487804879,2.310213414634146
w=256,44,2,22,11,14,256,18,0,0,128.0,3936,19360907262.0,38722535406.0,5015.0,9095.0,1.2741361788617886,2.310721544715447
w=256,44,2,22,15,10,256,18,0,0,128.0,3936,19360907262.0,38721875943.0,5012.0,9092.0,1.2733739837398375,2.309959349593496
w=256,48,3,16,11,12,256,18,0,0,128.0,3936,302514174.0,907722732.0,7280.0,13400.0,1.8495934959349594,3.404471544715447
w=256,48,3,16,13,10,256,18,0,0,128.0,3936,302514174.0,907595752.0,7278.0,13398.0,1.8490853658536586,3.403963414634146
w=16,50,2,25,6,20,16,35,0,0,128.0,3952,19193135102.0,38411436023.0,895.0,1391.0,0.22646761133603238,0.3519736842105263
w=16,50,2,25,7,17,16,35,0,0,128.0,3952,19193135102.0,38389940213.0,894.0,1390.0,0.22621457489878544,0.3517206477732793
w=32,46,2,23,8,17,32,28,0,0,128.0,3952,7600078846.0,15204351987.0,1261.0,2067.0,0.3190789473684211,0.5230263157894737
w=32,46,2,23,9,15,32,28,0,0,128.0,3952,7600078846.0,15201337329.0,1260.0,2066.0,0.3188259109311741,0.5227732793522267
w=32,46,2,23,12,11,32,28,0,0,128.0,3952,7600078846.0,15200255980.0,1258.0,2064.0,0.3183198380566802,0.5222672064777328
w=32,50,2,25,7,19,32,28,0,0,128.0,3952,30400315390.0,60815310837.0,1262.0,2068.0,0.319331983805668,0.5232793522267206
w=32,50,2,25,10,13,32,28,0,0,128.0,3952,30400315390.0,60800958448.0,1260.0,2066.0,0.3188259109311741,0.5227732793522267
w=32,50,2,25,14,9,32,28,0,0,128.0,3952,30400315390.0,60800659433.0,1257.0,2063.0,0.3180668016194332,0.5220141700404858
w=256,40,2,20,10,16,256,18,0,0,128.0,3952,4840226814.0,9683075056.0,5018.0,9098.0,1.269736842105263,2.3021255060728745
w=256,42,2,21,8,20,256,18,0,0,128.0,3952,9680453630.0,19394461683.0,5019.0,9099.0,1.26998987854251,2.3023785425101213
w=256,42,2,21,12,13,256,18,0,0,128.0,3952,9680453630.0,19361300460.0,5016.0,9096.0,1.2692307692307692,2.3016194331983804
w=256,42,2,21,14,11,256,18,0,0,128.0,3952,9680453630.0,19361021929.0,5015.0,9095.0,1.2689777327935223,2.3013663967611335
w=256,42,3,14,10,14,256,18,0,0,128.0,3952,75628542.0,227540974.0,7283.0,13403.0,1.8428643724696356,3.3914473684210527
w=256,45,3,15,7,20,256,18,0,0,128.0,3952,151257086.0,483131379.0,7285.0,13405.0,1.8433704453441295,3.3919534412955468
w=256,48,2,24,9,17,256,18,0,0,128.0,3952,77443629054.0,154891976689.0,5018.0,9098.0,1.269736842105263,2.3021255060728745
w=256,48,2,24,18,8,256,18,0,0,128.0,3952,77443629054.0,154887276514.0,5012.0,9092.0,1.2682186234817814,2.3006072874493926
w=256,48,3,16,8,17,256,18,0,0,128.0,3952,302514174.0,911736817.0,7284.0,13404.0,1.8431174089068827,3.3917004048582995
w=256,48,3,16,9,15,256,18,0,0,128.0,3952,302514174.0,908722159.0,7283.0,13403.0,1.8428643724696356,3.3914473684210527
w=256,48,3,16,12,11,256,18,0,0,128.0,3952,302514174.0,907640810.0,7281.0,13401.0,1.8423582995951417,3.3909412955465585
w=256,48,3,16,16,8,256,18,0,0,128.0,3952,302514174.0,907558883.0,7278.0,13398.0,1.8415991902834008,3.3901821862348176
w=256,50,2,25,8,19,256,18,0,0,128.0,3952,154887258110.0,309791293427.0,5019.0,9099.0,1.26998987854251,2.3023785425101213
w=256,50,2,25,10,15,256,18,0,0,128.0,3952,154887258110.0,309775826928.0,5018.0,9098.0,1.269736842105263,2.3021255060728745
