cumulative_total,required_global_X,bottleneck_metric,h,d,k,a,w,size_bytes,size_X,keygen_X,sign_X,verify_X,cpb_X
504,1.5601,c_per_byte,48,6,19,10,32,6816,0.8676,0.7925,0.6529,1.3536,1.5601
505,1.5622,c_per_byte,48,6,13,15,32,6800,0.8656,0.7925,1.2026,1.3522,1.5622
506,1.5627,c_per_byte,48,6,16,12,32,6800,0.8656,0.7925,0.7152,1.3527,1.5627
507,1.567,c_per_byte,48,6,23,8,32,6784,0.8635,0.7925,0.6345,1.3531,1.567
508,1.5702,sign_C,40,5,14,16,16,7264,0.9246,0.5,1.5702,0.7629,0.825
509,1.5741,c_per_byte,40,5,10,16,32,5616,0.7149,0.7925,1.4084,1.1253,1.5741
510,1.5749,c_per_byte,42,6,14,14,32,6736,0.8574,0.3962,0.6235,1.3503,1.5749
511,1.5754,c_per_byte,48,6,17,11,32,6736,0.8574,0.7925,0.6737,1.3508,1.5754
512,1.5754,c_per_byte,42,6,15,13,32,6736,0.8574,0.3962,0.4795,1.3508,1.5754
513,1.576,c_per_byte,42,6,21,9,32,6736,0.8574,0.3962,0.3278,1.3513,1.576
514,1.5786,c_per_byte,40,5,13,12,32,5600,0.7128,0.7925,0.5942,1.1253,1.5786
515,1.5792,c_per_byte,42,6,19,10,32,6720,0.8554,0.3962,0.3396,1.3508,1.5792
516,1.5813,c_per_byte,42,6,13,15,32,6704,0.8534,0.3962,0.8893,1.3494,1.5813
517,1.5818,c_per_byte,42,6,16,12,32,6704,0.8534,0.3962,0.4019,1.3499,1.5818
518,1.5825,c_per_byte,40,5,12,13,32,5584,0.7108,0.7925,0.6551,1.1248,1.5825
519,1.5842,c_per_byte,49,7,22,10,32,7808,0.9939,0.3962,0.396,1.5745,1.5842
520,1.5849,keygen_C,45,5,20,12,32,7136,0.9084,1.5849,1.1551,1.1708,1.2889
521,1.5849,keygen_C,45,5,23,11,32,7392,0.9409,1.5849,1.108,1.1787,1.2526
522,1.5849,keygen_C,45,5,23,10,32,7024,0.8941,1.5849,1.0762,1.168,1.3063
523,1.5849,keygen_C,45,5,19,11,32,6624,0.8432,1.5849,1.0969,1.1559,1.3709
524,1.5849,keygen_C,45,5,17,10,32,5968,0.7597,1.5849,1.0679,1.1364,1.4959
525,1.5849,keygen_C,45,5,20,9,32,6176,0.7862,1.5849,1.0582,1.1429,1.4538
526,1.5849,keygen_C,45,5,24,11,32,7584,0.9654,1.5849,1.1108,1.1842,1.2267
527,1.5849,keygen_C,45,5,19,9,32,6016,0.7658,1.5849,1.0575,1.1383,1.4864
528,1.5849,keygen_C,45,5,21,8,32,6000,0.7637,1.5849,1.0516,1.1378,1.4898
529,1.5849,keygen_C,45,5,19,14,32,7536,0.9593,1.5849,1.4653,1.1824,1.2326
530,1.5849,keygen_C,45,5,14,13,32,6112,0.778,1.5849,1.1994,1.1401,1.4655
531,1.5849,keygen_C,45,5,14,12,32,5888,0.7495,1.5849,1.1219,1.1336,1.5126
532,1.5849,keygen_C,45,5,13,13,32,5888,0.7495,1.5849,1.1883,1.1336,1.5126
533,1.5849,keygen_C,45,5,18,14,32,7296,0.9287,1.5849,1.4431,1.1749,1.2651
534,1.5849,keygen_C,45,5,17,11,32,6240,0.7943,1.5849,1.0914,1.1443,1.4407
535,1.5849,keygen_C,45,5,23,9,32,6656,0.8473,1.5849,1.0602,1.1573,1.366
536,1.5849,keygen_C,45,5,21,12,32,7344,0.9348,1.5849,1.1606,1.1768,1.2588
537,1.5849,keygen_C,45,5,18,12,32,6720,0.8554,1.5849,1.144,1.1582,1.354
538,1.5849,keygen_C,45,5,19,13,32,7232,0.9206,1.5849,1.2548,1.1735,1.2748
539,1.5849,keygen_C,45,5,15,13,32,6336,0.8065,1.5849,1.2105,1.1471,1.4223
540,1.5849,keygen_C,45,5,14,14,32,6336,0.8065,1.5849,1.3545,1.1466,1.4217
541,1.5849,keygen_C,45,5,21,9,32,6336,0.8065,1.5849,1.0588,1.1476,1.4229
542,1.5849,keygen_C,45,5,24,10,32,7200,0.9165,1.5849,1.0775,1.1731,1.28
543,1.5849,keygen_C,45,5,18,10,32,6144,0.7821,1.5849,1.0692,1.1415,1.4596
544,1.5849,keygen_C,45,5,22,8,32,6144,0.7821,1.5849,1.0519,1.142,1.4602
545,1.5849,keygen_C,45,5,22,10,32,6848,0.8717,1.5849,1.0748,1.1624,1.3335
546,1.5849,keygen_C,45,5,20,13,32,7456,0.9491,1.5849,1.2659,1.18,1.2434
547,1.5849,keygen_C,45,5,16,11,32,6048,0.7699,1.5849,1.0886,1.1387,1.4792
548,1.5849,keygen_C,45,5,12,15,32,6048,0.7699,1.5849,1.576,1.1383,1.4786
549,1.5849,keygen_C,45,5,21,10,32,6672,0.8493,1.5849,1.0734,1.1573,1.3627
550,1.5849,keygen_C,45,5,19,10,32,6320,0.8045,1.5849,1.0706,1.1471,1.4259
551,1.5849,keygen_C,45,5,15,14,32,6576,0.8371,1.5849,1.3766,1.1541,1.3787
552,1.5849,keygen_C,45,5,22,12,32,7552,0.9613,1.5849,1.1662,1.1828,1.2304
553,1.5849,keygen_C,45,5,15,10,32,5616,0.7149,1.5849,1.0651,1.1262,1.5754
554,1.5849,keygen_C,45,5,14,11,32,5664,0.721,1.5849,1.0831,1.1271,1.5634
555,1.5849,keygen_C,45,5,11,14,32,5616,0.7149,1.5849,1.288,1.1258,1.5748
556,1.5849,keygen_C,45,5,12,13,32,5664,0.721,1.5849,1.1772,1.1271,1.5634
557,1.5849,keygen_C,45,5,19,8,32,5712,0.7271,1.5849,1.0509,1.1295,1.5534
558,1.5849,keygen_C,45,5,15,12,32,6096,0.776,1.5849,1.1274,1.1401,1.4693
559,1.5849,keygen_C,45,5,21,11,32,7008,0.8921,1.5849,1.1025,1.1671,1.3083
560,1.5849,keygen_C,45,5,17,14,32,7056,0.8982,1.5849,1.421,1.168,1.3004
561,1.5849,keygen_C,45,5,13,14,32,6096,0.776,1.5849,1.3323,1.1397,1.4687
562,1.5849,keygen_C,45,5,23,8,32,6288,0.8004,1.5849,1.0523,1.1466,1.4326
563,1.5849,keygen_C,45,5,13,12,32,5680,0.723,1.5849,1.1163,1.1276,1.5596
564,1.5849,keygen_C,45,5,18,13,32,7008,0.8921,1.5849,1.2437,1.1666,1.3078
565,1.5849,keygen_C,45,5,16,12,32,6304,0.8024,1.5849,1.1329,1.1462,1.4284
566,1.5849,keygen_C,45,5,22,11,32,7200,0.9165,1.5849,1.1052,1.1726,1.2795
567,1.5849,keygen_C,45,5,12,14,32,5856,0.7454,1.5849,1.3102,1.1327,1.5196
568,1.5849,keygen_C,45,5,17,13,32,6784,0.8635,1.5849,1.2326,1.1601,1.3434
569,1.5849,keygen_C,45,5,24,8,32,6432,0.8187,1.5849,1.0526,1.1508,1.4056
570,1.5849,keygen_C,45,5,20,8,32,5856,0.7454,1.5849,1.0512,1.1336,1.5208
571,1.5849,keygen_C,45,5,18,9,32,5856,0.7454,1.5849,1.0568,1.1332,1.5202
572,1.5849,keygen_C,45,5,16,14,32,6816,0.8676,1.5849,1.3988,1.161,1.3382
573,1.5849,keygen_C,45,5,18,11,32,6432,0.8187,1.5849,1.0942,1.1499,1.4045
574,1.5849,keygen_C,45,5,15,11,32,5856,0.7454,1.5849,1.0859,1.1332,1.5202
575,1.5849,keygen_C,45,5,20,11,32,6816,0.8676,1.5849,1.0997,1.1615,1.3387
576,1.5849,keygen_C,45,5,17,12,32,6512,0.8289,1.5849,1.1385,1.1522,1.39
577,1.5849,keygen_C,45,5,16,13,32,6560,0.835,1.5849,1.2216,1.1536,1.3815
578,1.5849,keygen_C,45,5,17,9,32,5696,0.7251,1.5849,1.0561,1.1285,1.5565
579,1.5849,keygen_C,45,5,24,9,32,6816,0.8676,1.5849,1.0609,1.1619,1.3392
580,1.5849,keygen_C,45,5,21,13,32,7680,0.9776,1.5849,1.2769,1.1865,1.2137
581,1.5849,keygen_C,45,5,20,10,32,6496,0.8269,1.5849,1.072,1.1522,1.3934
582,1.5849,keygen_C,45,5,23,12,32,7760,0.9878,1.5849,1.1717,1.1893,1.204
583,1.5849,keygen_C,45,5,11,15,32,5792,0.7373,1.5849,1.5317,1.1309,1.5338
584,1.5849,keygen_C,45,5,22,9,32,6496,0.8269,1.5849,1.0595,1.1522,1.3934
585,1.5849,keygen_C,45,5,16,10,32,5792,0.7373,1.5849,1.0665,1.1313,1.5345
586,1.5849,keygen_C,45,5,20,14,32,7776,0.9898,1.5849,1.4874,1.1893,1.2016
587,1.5849,keygen_C,45,5,19,12,32,6928,0.8819,1.5849,1.1496,1.1647,1.3207
